Question ID,Topic,Term,Has EN,Has AR,Has UR,Status,English Text (first 100 chars)
"AL-01","alertness","hint","false","true","false","missingEnglish",""
"AL-02","alertness","hint","false","true","false","missingEnglish",""
"AL-03","alertness","hint","false","true","false","missingEnglish",""
"AL-04","alertness","hint","false","true","false","missingEnglish",""
"AL-05","alertness","hint","false","true","false","missingEnglish",""
"AL-06","alertness","hint","false","true","false","missingEnglish",""
"AL-07","alertness","hint","false","true","false","missingEnglish",""
"AL-08","alertness","hint","false","true","false","missingEnglish",""
"AL-09","alertness","hint","false","true","false","missingEnglish",""
"AL-10","alertness","hint","false","true","false","missingEnglish",""
"AL-11","alertness","hint","false","true","false","missingEnglish",""
"AL-12","alertness","hint","false","true","false","missingEnglish",""
"AL-13","alertness","hint","false","true","false","missingEnglish",""
"AL-14","alertness","hint","false","true","false","missingEnglish",""
"AL-15","alertness","hint","false","true","false","missingEnglish",""
"AL-16","alertness","hint","false","true","false","missingEnglish",""
"AL-17","alertness","hint","false","true","false","missingEnglish",""
"AL-18","alertness","hint","false","true","false","missingEnglish",""
"AL-19","alertness","hint","false","true","false","missingEnglish",""
"AL-20","alertness","hint","false","true","false","missingEnglish",""
"AL-21","alertness","hint","false","true","false","missingEnglish",""
"AL-22","alertness","hint","false","true","false","missingEnglish",""
"AL-23","alertness","hint","false","true","false","missingEnglish",""
"AL-24","alertness","hint","false","true","false","missingEnglish",""
"AL-25","alertness","hint","false","true","false","missingEnglish",""
"AL-26","alertness","hint","false","true","false","missingEnglish",""
"HZ-01","hazard-awareness","hint-HZ-01","false","true","true","missingEnglish",""
"HZ-02","hazard-awareness","hint-HZ-02","false","true","false","missingEnglish",""
"HZ-03","hazard-awareness","hint-HZ-03","false","true","false","missingEnglish",""
"HZ-04","hazard-awareness","hint-HZ-04","false","true","false","missingEnglish",""
"HZ-05","hazard-awareness","hint-HZ-05","false","true","false","missingEnglish",""
"HZ-06","hazard-awareness","hint-HZ-06","false","true","false","missingEnglish",""
"HZ-07","hazard-awareness","hint-HZ-07","false","true","false","missingEnglish",""
"HZ-08","hazard-awareness","hint-HZ-08","false","true","false","missingEnglish",""
"HZ-09","hazard-awareness","hint-HZ-09","false","true","false","missingEnglish",""
"HZ-10","hazard-awareness","hint-HZ-10","false","true","false","missingEnglish",""
"HZ-11","hazard-awareness","hint-HZ-11","false","true","false","missingEnglish",""
"HZ-12","hazard-awareness","hint-HZ-12","false","true","false","missingEnglish",""
"HZ-13","hazard-awareness","hint-HZ-13","false","true","false","missingEnglish",""
"HZ-14","hazard-awareness","hint-HZ-14","false","true","false","missingEnglish",""
"HZ-15","hazard-awareness","hint-HZ-15","false","true","false","missingEnglish",""
"HZ-16","hazard-awareness","hint-HZ-16","false","true","false","missingEnglish",""
"HZ-17","hazard-awareness","hint-HZ-17","false","true","false","missingEnglish",""
"HZ-18","hazard-awareness","hint-HZ-18","false","true","false","missingEnglish",""
"HZ-19","hazard-awareness","hint-HZ-19","false","true","false","missingEnglish",""
"HZ-20","hazard-awareness","hint-HZ-20","false","true","false","missingEnglish",""
"HZ-21","hazard-awareness","hint-HZ-21","false","true","false","missingEnglish",""
"HZ-22","hazard-awareness","hint-HZ-22","false","true","false","missingEnglish",""
"HZ-23","hazard-awareness","hint-HZ-23","false","true","false","missingEnglish",""
"HZ-24","hazard-awareness","hint-HZ-24","false","true","false","missingEnglish",""
"HZ-25","hazard-awareness","hint-HZ-25","false","true","false","missingEnglish",""
"HZ-26","hazard-awareness","hint-HZ-26","false","true","false","missingEnglish",""
"HZ-27","hazard-awareness","hint-HZ-27","false","true","false","missingEnglish",""
"HZ-28","hazard-awareness","hint-HZ-28","false","true","false","missingEnglish",""
"HZ-29","hazard-awareness","hint-HZ-29","false","true","false","missingEnglish",""
"HZ-30","hazard-awareness","hint-HZ-30","false","true","false","missingEnglish",""
"HZ-31","hazard-awareness","hint-HZ-31","false","true","false","missingEnglish",""
"HZ-32","hazard-awareness","hint-HZ-32","false","true","false","missingEnglish",""
"HZ-33","hazard-awareness","hint-HZ-33","false","true","false","missingEnglish",""
"HZ-34","hazard-awareness","hint-HZ-34","true","false","false","needsBoth","Wearing glasses always maintains clear vision in all conditions."
"HZ-35","hazard-awareness","hint-HZ-35","true","false","false","needsBoth","Alcohol impairs judgement and control, significantly increasing accident risk."
"HZ-36","hazard-awareness","hint-HZ-36","true","false","false","needsBoth","Stopped buses may hide pedestrians crossing in front."
"HZ-37","hazard-awareness","hint-HZ-37","true","false","false","needsBoth","Left-hand bends may contain mud or debris from farm vehicles."
"HZ-38","hazard-awareness","hint-HZ-38","true","false","false","needsBoth","Drugs reduce concentration and awareness, threatening road safety."
"HZ-39","hazard-awareness","hint-HZ-39","true","false","false","needsBoth","Spray from large lorries reduces visibility and increases accident risk."
"HZ-40","hazard-awareness","hint-HZ-40","true","false","false","needsBoth","Tinted lenses reduce light amount and make night vision harder."
"HZ-41","hazard-awareness","hint-HZ-41","true","false","false","needsBoth","When traffic lights fail, treat it as an unmarked junction with extra caution."
"HZ-42","hazard-awareness","hint-HZ-42","true","false","false","needsBoth","Older drivers may need more time to react, so give them space."
"HZ-43","hazard-awareness","hint-HZ-43","true","false","false","needsBoth","Continuous signalling may mean the driver forgot to cancel it or there's a problem."
"HZ-44","hazard-awareness","hint-HZ-44","true","false","false","needsBoth","Sharp bend signs warn of sudden bends requiring speed reduction."
"HZ-45","hazard-awareness","hint-HZ-45","true","false","false","needsBoth","Narrow bridges require readiness to give way to large vehicles."
"HZ-46","hazard-awareness","hint-HZ-46","true","false","false","needsBoth","Stopping and resting when drowsy prevents accidents from falling asleep at the wheel."
"HZ-47","hazard-awareness","hint-HZ-47","true","false","false","needsBoth","Hazard lights are only used when the vehicle breaks down and obstructs traffic."
"HZ-48","hazard-awareness","hint-HZ-48","true","false","false","needsBoth","Large lorries may need to use the middle of narrow roads to pass."
